date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-13 09:13:50,AfDimBundestag,,6,18,72,"Die #AfD-Fraktion wird den Antrag „Negativfolgen der #Corona-Maßnahmen auf das #Gastronomie-Gewerbe eindämmen – Einen fairen und einheitlichen Umsatzsteuersatz auf Lebensmittel einführen“ einbringen. Dazu @KayGottschalk1: ""Gastronomen dauerhaft entlasten!"" https://www.afdbundestag.de/gottschalk-gastronomen-dauerhaft-entlasten/?fbclid=IwAR3eo6f0P00IeTywuM3cQVSfc28h_mW_VAgzR7TQ15Yx-A_KtDvGTzUUqIE",,@KayGottschalk1,#AfD #Corona #Gastronomie,1260498477441789956,https://twitter.com/AfDimBundestag/status/1260498477441789956
2020-05-12 14:52:24,Linksfraktion,,8,21,99,"Schlachthöfe haben sich in #Deutschland zu #Corona-Brennpunkten entwickelt. @Amira_M_Ali verurteilte die #Arbeitsbedingungen dort im heutigen Pressestatement scharf. Die skrupellose #Profitmaximierung müsse gestoppt werden. Das ganze Statement: https://www.youtube.com/watch?v=aep7Iq0SoDg",,@Amira_M_Ali,#Deutschland #Corona #Arbeitsbedingungen #Profitmaximierung,1260221294156578817,https://twitter.com/Linksfraktion/status/1260221294156578817
2020-05-12 13:30:28,AfDimBundestag,,7,11,62,"Der 12. Mai ist der Internationale Tag der Pflege. Der #AfD-Abgeordnete @Martin_Sichert betont aus diesem Anlass die systemrelevante Bedeutung der häuslichen Pflege – gerade während der derzeitigen #Corona-Krise: ""Häusliche Pflege stärken!"" #Pflegekraefte",,@Martin_Sichert,#AfD #Corona #Pflegekraefte,1260200673314058240,https://twitter.com/AfDimBundestag/status/1260200673314058240
2020-05-12 13:24:56,AfDimBundestag,,9,18,90,"Nach einem #Corona-Ausbruch in einem Schlachtbetrieb in #Coesfeld sollen landesweit alle rund 20.000 Mitarbeiter getestet werden. Dazu @Pohl_MdB: ""#Bundesregierung ignoriert seit Jahren die skandalösen Zustände in der deutschen Fleischwirtschaft!"" #COVID19",,@Pohl_MdB,#Corona #Coesfeld #Bundesregierung #COVID19,1260199281501310979,https://twitter.com/AfDimBundestag/status/1260199281501310979
2020-05-12 12:29:05,Linksfraktion,SZ_Politik,4,4,21,"Pia Zimmermann: Das zarte Pflänzchen Beschäftigten-Anstieg in der Altenpflege drohte bereits vor Corona wieder zu verdorren. Um die Altenpflege attraktiver zu machen, muss der Arbeitsaufwand gesenkt, also mehr Personal mit höheren Löhnen und Tarifverträgen eingestellt werden. ",,,,1260185223444094976,https://twitter.com/Linksfraktion/status/1260185223444094976
2020-05-12 06:14:46,Linksfraktion,,6,22,71,"Heute ist #TagDerPflege. Die Arbeit von Pflegerinnen und Pflegern ist wichtig für unsere Gesellschaft. Sie leisten jetzt, aber auch schon vor der Corona-Krise, Großartiges. Diese Leistung muss gewürdigt werden – jetzt und auch nach derKrise. ",,,#TagDerPflege,1260091026057945088,https://twitter.com/Linksfraktion/status/1260091026057945088
2020-05-11 12:39:58,AfDimBundestag,,18,17,69,"Mehr als 200 Mitarbeiter der Großschlachterei „Westfleisch“ in #Coesfeld im Münsterland sind laut Behördenangaben mit #Corona infiziert. @Pohl_MdB kommentiert: ""Corona offenbart menschenunwürdige Arbeitsbedingungen in der fleischverarbeitenden Industrie!"" ",,@Pohl_MdB,#Coesfeld #Corona,1259825574421413891,https://twitter.com/AfDimBundestag/status/1259825574421413891
2020-05-11 10:46:27,Linksfraktion,,0,1,10,"Steuersparmodelle und Staatshilfen passen nicht zusammen, findet @ernst_klaus » Die Corona-Krise zeigt deutlich, dass der Staat Einfluss auf die Unternehmen braucht, wenn er sich beteiligt.« ",,@ernst_klaus,,1259797009785139200,https://twitter.com/Linksfraktion/status/1259797009785139200
2020-05-11 08:39:20,AfDimBundestag,,84,195,816,"Zur wachsenden Kritik an den deutschlandweiten Demos gegen die #Corona-Maßnahmen von Bund und Ländern teilt der Vorsitzende der #AfD-Fraktion im Deutschen #Bundestag, Alexander #Gauland, mit: ""Meinungs- und Versammlungsfreiheit gilt auch in Krisenzeiten!""",,,#Corona #AfD #Bundestag #Gauland,1259765019149062144,https://twitter.com/AfDimBundestag/status/1259765019149062144
2020-05-08 14:09:06,AfDimBundestag,,61,106,347,"+++Corona-Positionspapier 2: Freiheit und Bürgerrechte wiederherstellen!+++ Die #AfD-Fraktion im Deutschen #Bundestag fordert: ""Soviel Freiheit wie möglich, nicht mehr Einschränkungen als nötig!"" Lesen Sie unser #Corona-Positionspapier: https://www.afdbundestag.de/corona-positionspapier-2-shutdown-sofort-beenden-soviel-freiheit-wie-moeglich-nicht-mehr-einschraenkungen-als-noetig/",,,#AfD #Bundestag #Corona,1258760845204561920,https://twitter.com/AfDimBundestag/status/1258760845204561920
